Due date,Experimento,Task,Owner,Status,Hipótesis,Notas
,Adquisición de clientes (llenar el piloto),(Opcional) si hay data suficiente: estimación simple de payback/CAC,,Not started,"1, 5",
2025-12-26T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Momento de pedir referido definido (al agendar y post-servicio) + script corto,Gabriella Bairan,Done,"1, 5",
2025-12-26T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Definición del gancho (1 párrafo): alcance + promesa ‘cero drama’ + zona + cupo,Gabriella Bairan,Done,"1, 5",
2025-12-22T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Cadencia mínima de ejecución,Gabriella Bairan,Done,,"Rutina diaria de outreach + follow-ups
Revisión semanal de resultados por canal
"
2025-12-22T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Kit mínimo de adquisición (para copy/paste),Gabriella Bairan,Done,"1, 5","Kit mínimo de adquisición (para copy/paste):
Mensajes listos para amigos/conocidos
Mensajes listos para grupos de WhatsApp (residenciales / vecinos / comunidad)
Mensaje para administradores / property managers / aliados
FAQ corta + CTA (“responde ‘Maroa’ para agendar”)"
,Administración General,Crear NotebookLM con los documentos del piloto y otro documentos de Maroa,Erick Santana,Planned,,
,Administración General,Dashboard con OKRs,Erick Santana,Not started,,
,Medición y feedback,Ritual de reunión semanal del piloto,,Not started,5,
,Medición y feedback,Registro de fricciones,,Not started,5,
,Medición y feedback,Guía de llamadas “momento wow”,,Not started,5,
,Medición y feedback,Encuesta posservicio,,Not started,5,
,Seguridad y riesgos,Definición de waiver o seguro simple (si aplica),,Not started,2,
,Seguridad y riesgos,Política de fotos y privacidad,,Not started,2,
,Seguridad y riesgos,Protocolo de incidentes y reclamos,,Not started,2,
,Seguridad y riesgos,Protocolo de acceso a residenciales,,Not started,2,
,Finanzas unitarias (núcleo de decisión),Definición de caja mínima para contingencias,,Not started,4,
,Finanzas unitarias (núcleo de decisión),Reporte semanal de margen,,Not started,4,
,Finanzas unitarias (núcleo de decisión),Pricing de correctivos,,Not started,4,
,Finanzas unitarias (núcleo de decisión),Estructura de costos por servicio,,Not started,4,
2025-12-22T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Esquema simple de referidos + mensaje post-servicio (activación),Gabriella Bairan,Done,1,
2026-01-14T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Tracker simple de adquisición (pipeline),Erick Santana,Planned,1,"Outreach → Interesado → Intake → Agendado → Completado → No fit 
(Regla: todo lead con próximo paso y fecha)"
2026-01-13T00:00:00.000-04:00,Adquisición de clientes (llenar el piloto),Formulario de captación mínima (o intake por WhatsApp),Erick Santana,Planned,1,
2025-12-19T00:00:00.000-04:00,Herramientas mínimas para validar,Canal interno de operaciones,Gabriella Bairan,Done,"2, 4",
2026-01-15T00:00:00.000-04:00,Herramientas mínimas para validar,Plantillas legales mínimas,Erick Santana,Planned,"2, 4","Plantillas legales mínimas:
terms del piloto, autorización de trabajo, waiver"
2026-01-19T00:00:00.000-04:00,Herramientas mínimas para validar,Tablero operativo ,Erick Santana,Planned,"2, 4","Tablero operativo con:
clientes, citas, técnicos, costos, estatus, incidencias"
2026-01-16T00:00:00.000-04:00,Herramientas mínimas para validar,Stack definido: WhatsApp Business + formulario + Sheet/CRM ligero,Erick Santana,Planned,"2, 4",
,Calidad y estandarización,Protocolo de auditoría ligera ,,Not started,3,
