Fase,Workstream,ID,Título,Sprint,Tipo,Responsable,Estado,Prioridad,Inicio,Fin,DoD (Definition of Done),KPI impactado,Ciudad/Área,Notas,Depends on
,Clientes y Encaje,IMM-004,Definir Dimensionamiento del Mercado - TAM/SAM/SOM,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
,Clientes y Encaje,IMM-003,Entrevistas para validar suposiciones v2,,,Gabriella Bairan,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-11T00:00:00.000-04:00,,,,,
,Servicio y Producto,IMM-002,Definir Enmarcación de oportunidades,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
Etapa 0,Clientes y Encaje,IMM-001,Definir Perfil del cliente y puntos de dolor,Semana 1,Tarea,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,PC/SD,,
Etapa 0,Servicio y Producto,T-000,Contratar competencia y absorber información sobre sus productos/servicios,Semana 1,Tarea,Asirio santana,En curso,,,,,,,,
Etapa 0,Proveedores Técnicos,T-002,Entrevistas con proveedores (5),Semana 1,Tarea,Gabriella Bairan,Backlog,Alta,,,5 entrevistas y hoja de tarifas/SLA preliminar,Capacidad de ejecución,PC/SD,,
Etapa 0,Servicio y Producto,T-003,Flujo estándar del servicio v0.1,Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-18T00:00:00.000-04:00,2025-08-19T00:00:00.000-04:00,Documento “Diagnóstico→Coordinación→Ejecución→Cierre→Cobro” aprobado,Consistencia operativa,PC/SD,,
Etapa 0,Servicio y Producto,T-004,Ficha mínima del activo (plantilla),Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-20T00:00:00.000-04:00,2025-08-21T00:00:00.000-04:00,"Campos definidos, fotos requeridas, ejemplo cargado en sistema",Calidad de datos,PC/SD,,
Etapa 0,Datos y Sistemas,T-005,Tablero sin código para tickets (pipeline),Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-22T00:00:00.000-04:00,2025-08-23T00:00:00.000-04:00,"Columnas/estados listos, permisos y vistas de agente creadas",Visibilidad integral,PC/SD,,
Etapa 0,Operación de Agentes,T-006,Guiones T-30 y T-7 + protocolo de objeciones,Semana 2,Tarea,,Backlog,Alta,,,"Guiones publicados, roleplay con 2 agentes",% citas en primera interacción,PC/SD,,
