ID,Título,Workstream,Fase,Sprint,Tipo,Responsable,Estado,Prioridad,Inicio,Fin,DoD (Definition of Done),KPI impactado,Ciudad/Área,Notas,Depends on
IMM-004,Definir Dimensionamiento del Mercado - TAM/SAM/SOM,Clientes y Encaje,,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
IMM-003,Entrevistas para validar suposiciones v2,Clientes y Encaje,,,,Gabriella Bairan,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-11T00:00:00.000-04:00,,,,,
IMM-002,Definir Enmarcación de oportunidades,Servicio y Producto,,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
IMM-001,Definir Perfil del cliente y puntos de dolor,Clientes y Encaje,Etapa 0,Semana 1,Tarea,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,PC/SD,,
T-000,Contratar competencia y absorber información sobre sus productos/servicios,Servicio y Producto,Etapa 0,Semana 1,Tarea,Asirio santana,En curso,,,,,,,,
T-002,Entrevistas con proveedores (5),Proveedores Técnicos,Etapa 0,Semana 1,Tarea,Gabriella Bairan,Backlog,Alta,,,5 entrevistas y hoja de tarifas/SLA preliminar,Capacidad de ejecución,PC/SD,,
T-003,Flujo estándar del servicio v0.1,Servicio y Producto,Etapa 0,Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-18T00:00:00.000-04:00,2025-08-19T00:00:00.000-04:00,Documento “Diagnóstico→Coordinación→Ejecución→Cierre→Cobro” aprobado,Consistencia operativa,PC/SD,,
T-004,Ficha mínima del activo (plantilla),Servicio y Producto,Etapa 0,Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-20T00:00:00.000-04:00,2025-08-21T00:00:00.000-04:00,"Campos definidos, fotos requeridas, ejemplo cargado en sistema",Calidad de datos,PC/SD,,
T-005,Tablero sin código para tickets (pipeline),Datos y Sistemas,Etapa 0,Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-22T00:00:00.000-04:00,2025-08-23T00:00:00.000-04:00,"Columnas/estados listos, permisos y vistas de agente creadas",Visibilidad integral,PC/SD,,
T-006,Guiones T-30 y T-7 + protocolo de objeciones,Operación de Agentes,Etapa 0,Semana 2,Tarea,,Backlog,Alta,,,"Guiones publicados, roleplay con 2 agentes",% citas en primera interacción,PC/SD,,
T-007,Captar 20 hogares para registro de activos,Go-to-Market,Etapa 0,Semana 2,Tarea,,Backlog,Media,,,20 hogares con al menos 1 activo cargado,Activos por cliente,PC/SD,,
T-008,Tokenización de tarjeta + consentimiento,Pagos y Facturación,Etapa 0,Semana 2,Tarea,,Backlog,Alta,,,"Formulario de consentimiento, token de prueba y cargo de prueba exitoso",Ciclo aprobación→cobro,PC/SD,,
T-009,Primer cobro real en producción,Pagos y Facturación,Etapa 0,Semana 2,Tarea,,Backlog,Alta,,,Servicio real cobrado automáticamente al marcar “Trabajo completado”,Ciclo aprobación→cobro,PC/SD,,T-008
T-010,10 pilotos pagados end-to-end,Servicio y Producto,Etapa 0,Semana 3,Épica,,Backlog,Alta,,,10 tickets cerrados con evidencia y cobro,% cierre / Calidad,PC/SD,,"T-003,T-004,T-005,T-009"
T-011,Cabina de mando v1 (4 KPIs),Datos y Sistemas,Etapa 0,Semana 3,Tarea,Erick Santana,Backlog,Alta,,,"Panel con: % cierre, tiempo aprobación→cobro, activos/cliente, puntualidad técnico",Decisión basada en datos,PC/SD,,T-005
T-012,Retro y eliminar top-3 fricciones,Servicio y Producto,Etapa 0,Semana 4,Tarea,Erick Santana,Backlog,Alta,,,Lista de fricciones priorizada y 3 mejoras implementadas,Mejora continua,PC/SD,,"T-010,T-011"
T-013,A/B propuesta comercial para condominios,Go-to-Market,Etapa 0,Semana 4,Tarea,,Backlog,Media,,,"2 versiones probadas, tasa de aceptación registrada",Adquisición,PC/SD,,
T-014,Alianza firmada con 1 condominio,Go-to-Market,Etapa 0,Semana 4,Hito,,Backlog,Alta,,,Contrato firmado y campaña de registro activada,Activos registrados,PC/SD,,T-013
T-015,Onboarding de proveedores por categoría (PC/SD),Proveedores Técnicos,Etapa 1,,Épica,,Backlog,Alta,,,≥2 proveedores confiables por categoría en cada zona,Capacidad de ejecución,PC/SD,,T-002
T-016,Estándares de servicio y precios por categoría,Proveedores Técnicos,Etapa 1,,Tarea,,Backlog,Alta,,,"SLA, rango de precios, seguridad y checklists publicados",Calidad / Coste,PC/SD,,T-015
T-017,Ritual semanal de agentes (coaching + métricas),Operación de Agentes,Etapa 1,,Tarea,,Backlog,Media,,,"Reunión fija con tablero, práctica y acciones concretas",% cierre / Cero tickets sin update,PC/SD,,T-006
T-018,Reintentos de cobro + tarjeta de respaldo,Pagos y Facturación,Etapa 1,,Tarea,,Backlog,Alta,,,Reglas de reintentos y segunda tarjeta probadas,Caja / Cobrabilidad,PC/SD,,T-009
T-019,One-click confirmación para el cliente,Servicio y Producto,Etapa 1,,Tarea,,Backlog,Media,,,"Botón “Confirmar” en portal o mensaje, con registro en ticket",% citas en 1ra interacción,PC/SD,,T-005
T-020,Agrupar órdenes multi-activo en una visita,Servicio y Producto,Etapa 1,,Tarea,,Backlog,Media,,,Lógica y prueba piloto con 5 hogares,Tiempo y coste por orden,PC/SD,,T-015
T-021,Sincronización con calendarios (Google/Outlook),Datos y Sistemas,Etapa 1,,Tarea,,Backlog,Media,,,Bloqueo de horario funcionando en 2 casos reales,% citas cumplidas,PC/SD,,T-005
