T-017,"Ritual semanal de
agentes (coaching +
métricas)","Operación de
Agentes",Etapa 1
T-018,"Reintentos de cobro +
tarjeta de respaldo","Pagos y
Facturación",Etapa 1
T-019,"One-click confirmación
para el cliente","Servicio y
Producto",Etapa 1
T-020,"Agrupar órdenes multi-
activo en una visita","Servicio y
Producto",Etapa 1
T-021,"Sincronización con
calendarios
(Google/Outlook)",Datos y Sistemas,Etapa 1
T-022,"Tracking de técnico
con llegada estimada","Servicio y
Producto",Etapa 1
T-023,"Formalizar contratos y
políticas mínimas",Legal y Tributario,Etapa 1
T-024,"Modelos de economía
por servicio","Finanzas y
Economía",Etapa 1
T-025,"Flujo de caja semanal y
disciplina de cierre","Finanzas y
Economía",Etapa 1
T-026,"Línea de crédito
operativa para picos","Finanzas y
Economía",Etapa 1
T-027,"Encuesta corta de
recomendación
integrada","Marca y
Comunicaciones",Etapa 1
T-028,"Operativizar Principios
Inquebrantables","Operación de
Agentes",Etapa 1
T-029,"3 alianzas con
condominios",Go-to-Market,Etapa 1
T-030,"Hito: 300 hogares /
1,200 activos",Go-to-Market,
T-031,"Automatización de
ruteo y calendarización",Datos y Sistemas,Etapa 2
T-032,"Webhooks o flujo
técnico automatizado","Servicio y
Producto",Etapa 2
T-033,"Programa de calidad y
certificaciones","Proveedores
Técnicos",Etapa 2
