Media,,,T-006,"Reunión fija con
tablero, práctica y
acciones concretas","% cierre / Cero
tickets sin update",PC/SD
Alta,,,T-009,"Reglas de reintentos
y segunda tarjeta
probadas",Caja / Cobrabilidad,PC/SD
Media,,,T-005,"Botón “Confirmar” en
portal o mensaje,
con registro en ticket","% citas en 1ra
interacción",PC/SD
Media,,,T-015,"Lógica y prueba
piloto con 5 hogares","Tiempo y coste por
orden",PC/SD
Media,,,T-005,"Bloqueo de horario
funcionando en 2
casos reales",% citas cumplidas,PC/SD
Media,,,T-015,"Enlace de
seguimiento y
confirmación de
llegada en 10
servicios",Experiencia cliente,PC/SD
Alta,,,,"Contratos
cliente/proveedor,
datos y reembolsos
aprobados","Confianza /
Cumplimiento",PC/SD
Alta,,,,"Margen por
categoría y
proveedor en hoja
viva",Margen / Precios,PC/SD
Alta,,,,"Reporte semanal con
proyección 4
semanas y
variaciones",Caja,PC/SD
Media,,,T-025,"Línea aprobada y
política de uso",Caja,PC/SD
Media,,,T-011,"Encuesta enviada
automáticamente al
cerrar y almacenada","Recomendación
cliente",PC/SD
Alta,,,T-006,"Checklists y
auditoría semanal de
cumplimiento",Consistencia,PC/SD
Alta,,,T-013 T-014,"Tres contratos
firmados y
campañas activas",Adquisición,PC/SD
Alta,,,T-015..T-029,"Métricas alcanzadas
y reportadas",Tracción,PC/SD
Alta,,,T-021,"Asignación
automática según
zona/skill y ventanas
<2h","Eficiencia /
Experiencia",Nacional
Media,,,T-022,"Cerrar ticket y
disparar cobro con
“Trabajo
completado”","Ciclo
aprobación→cobro",Nacional
Media,,,T-016,"Checklists
auditados, badges y
bonificaciones por
calidad",Calidad / Seguridad,Nacional
