,,,,Precio,,,$500.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,"Garantía del
servicio",,,,,
,,,,Puntualidad,,,,,
,,,,Precio,,,$650.00,,
,,,,Puntualidad,,,,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Disponibilidad
rápida",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,"Calidad del
trabajo
Confianza /
Reputación
Puntualidad","Pido
recomendaciones
a amigos/familia
Llamo a técnicos
conocidos","Mayor
confiabilidad",$100.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,Puntualidad,,,,,
,,,,"Garantía del
servicio
Confianza /
Reputación
Calidad del
trabajo","Pido
recomendaciones
a amigos/familia
Pregunto en
grupos de
WhatsApp/Faceb
ook","Gestionar todo en
un solo lugar",$200.00,,
,,,,Puntualidad,"Pido
recomendaciones
a amigos/familia","Mayor
confiabilidad","$1,000.00",,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
