"Administración
General",,Dashboard con OKRs,,Not started,Dec 26,,,
"Seguridad y
riesgos",,Protocolo de acceso a residenciales,,Not started,Dec 29,2,,
"Seguridad y
riesgos",,Protocolo de incidentes y reclamos,,Not started,Dec 29,2,,
"Seguridad y
riesgos",,Política de fotos y privacidad,,Not started,Dec 29,2,,
"Seguridad y
riesgos",,Definición de waiver o seguro simple (si aplica),,Not started,Dec 29,2,,
"Operación de
Concierge
(experiencia
“cero drama”)",,Guiones operativos,,Not started,Jan 5,2,,
"Operación de
Concierge
(experiencia
“cero drama”)",,SLAs internos definidos,,Not started,Jan 5,2,,
"Operación de
Concierge
(experiencia
“cero drama”)",,Plantillas operativas,,Not started,Jan 5,2,,
"Operación de
Concierge
(experiencia
“cero drama”)",,Regla operativa,,Not started,Jan 5,2,,
"Red de técnicos
(capacidad
mínima viable)",,Lista de técnicos activos y de backup,,Not started,Jan 5,"2, 3",,
"Red de técnicos
(capacidad
mínima viable)",,Checklist de selección,,Not started,Jan 5,"2, 3",,
"Red de técnicos
(capacidad
mínima viable)",,Esquema de pago por servicio,,Not started,Jan 5,"2, 3",,
