,Reglas claras de materiales,,Not started,Jan 5,"2, 3",,
"Red de técnicos
(capacidad
mínima viable)",Manual técnico del piloto,,Not started,Jan 5,"2, 3",,
"Calidad y
estandarización",Checklist de mantenimiento A/C,,Not started,Jan 12,3,,
"Calidad y
estandarización",Checklist de cierre,,Not started,Jan 12,3,,
"Calidad y
estandarización",Formato de “Reporte Maroa” posvisita,,Not started,Jan 12,3,,
"Calidad y
estandarización",Protocolo de auditoría ligera,,Not started,Jan 12,3,,
"Finanzas
unitarias (núcleo
de decisión)",Estructura de costos por servicio,,Not started,Jan 12,4,,
"Finanzas
unitarias (núcleo
de decisión)",Pricing de correctivos,,Not started,Jan 12,4,,
"Finanzas
unitarias (núcleo
de decisión)",Reporte semanal de margen,,Not started,Jan 12,4,,
"Finanzas
unitarias (núcleo
de decisión)",Definición de caja mínima para contingencias,,Not started,Jan 12,4,,
"Medición y
feedback",Encuesta posservicio,,Not started,Jan 12,5,,
"Medición y
feedback",Guía de llamadas “momento wow”,,Not started,Jan 12,5,,
"Medición y
feedback",Registro de fricciones,,Not started,Jan 12,5,,
"Medición y
feedback",Ritual de reunión semanal del piloto,,Not started,Jan 12,5,,
